year,tdb
-12333,-2783383.877487029
-12332,-2783018.6334892735
-12331,-2782653.397362476
-12330,-2782288.156613309
-12329,-2781922.9108671043
-12328,-2781557.6779604843
-12327,-2781192.4382401966
-12326,-2780827.199722048
-12325,-2780461.964653057
-12324,-2780096.7195501225
-12323,-2779731.483424009
-12322,-2779366.24321605
-12321,-2779000.999337932
-12320,-2778635.766947427
-12319,-2778270.5259582214
-12318,-2777905.285015445
-12317,-2777540.0464381855
-12316,-2777174.802292439
-12315,-2776809.565036768
-12314,-2776444.323870588
-12313,-2776079.0786425555
-12312,-2775713.840200104
-12311,-2775348.5988153005
-12310,-2774983.3562140483
-12309,-2774618.1206220174
-12308,-2774252.8810003437
-12307,-2773887.6441672677
-12306,-2773522.4069471154
-12305,-2773157.1630481193
-12304,-2772791.928795117
-12303,-2772426.691473416
-12302,-2772061.4499729993
-12301,-2771696.21250772
-12300,-2771330.9687621584
-12299,-2770965.7273473674
-12298,-2770600.486718976
-12297,-2770235.242674387
-12296,-2769870.0056268238
-12295,-2769504.766627512
-12294,-2769139.5234649554
-12293,-2768774.2844252186
-12292,-2768409.045417481
-12291,-2768043.8063079286
-12290,-2767678.568374142
-12289,-2767313.3260067087
-12288,-2766948.0863553733
-12287,-2766582.84848806
-12286,-2766217.6064080996
-12285,-2765852.370132597
-12284,-2765487.13258903
-12283,-2765121.8935499964
-12282,-2764756.6533874217
-12281,-2764391.4116949514
-12280,-2764026.173337654
-12279,-2763660.934667688
-12278,-2763295.6928625954
-12277,-2762930.450507285
-12276,-2762565.208800449
-12275,-2762199.9666477498
-12274,-2761834.7248480497
-12273,-2761469.486309042
-12272,-2761104.2473503705
-12271,-2760739.010383429
-12270,-2760373.7705324143
-12269,-2760008.5304183364
-12268,-2759643.2952778945
-12267,-2759278.0562214693
-12266,-2758912.817046948
-12265,-2758547.576896255
-12264,-2758182.335458521
-12263,-2757817.0958073605
-12262,-2757451.855222985
-12261,-2757086.6148018735
-12260,-2756721.375969287
-12259,-2756356.136124662
-12258,-2755990.891751418
-12257,-2755625.6518732766
-12256,-2755260.4124068813
-12255,-2754895.1723968657
-12254,-2754529.934438967
-12253,-2754164.691033979
-12252,-2753799.451600994
-12251,-2753434.213887578
-12250,-2753068.970917822
-12249,-2752703.7363441437
-12248,-2752338.498706135
-12247,-2751973.2596094534
-12246,-2751608.022201946
-12245,-2751242.780636959
-12244,-2750877.542633267
-12243,-2750512.3050685385
-12242,-2750147.0597517993
-12241,-2749781.8179363236
-12240,-2749416.5763221253
-12239,-2749051.331836245
-12238,-2748686.093930208
-12237,-2748320.852990142
-12236,-2747955.6136582047
-12235,-2747590.377945463
-12234,-2747225.1334064156
-12233,-2746859.896809073
-12232,-2746494.661392833
-12231,-2746129.4203336323
-12230,-2745764.1847188976
-12229,-2745398.942472426
-12228,-2745033.701334345
-12227,-2744668.465395391
-12226,-2744303.220964171
-12225,-2743937.9825738184
-12224,-2743572.7453335403
-12223,-2743207.5004621474
-12222,-2742842.261080656
-12221,-2742477.0208090106
-12220,-2742111.7779454496
-12219,-2741746.543635116
-12218,-2741381.297738049
-12217,-2741016.0556671508
-12216,-2740650.819892333
-12215,-2740285.5747795673
-12214,-2739920.339886876
-12213,-2739555.103376854
-12212,-2739189.8622588404
-12211,-2738824.6295505315
-12210,-2738459.385505541
-12209,-2738094.14629108
-12208,-2737728.9121060735
-12207,-2737363.667413245
-12206,-2736998.4276716635
-12205,-2736633.186194284
-12204,-2736267.940494539
-12203,-2735902.703178281
-12202,-2735537.460849748
-12201,-2735172.2188080614
-12200,-2734806.98466717
-12199,-2734441.7399668237
-12198,-2734076.5003262376
-12197,-2733711.265736183
-12196,-2733346.0224866048
-12195,-2732980.7896667784
-12194,-2732615.547904469
-12193,-2732250.303812932
-12192,-2731885.0701430477
-12191,-2731519.8259122586
-12190,-2731154.5874664364
-12189,-2730789.35256371
-12188,-2730424.1075402414
-12187,-2730058.8716608835
-12186,-2729693.6295410534
-12185,-2729328.385797154
-12184,-2728963.1511858357
-12183,-2728597.9073815346
-12182,-2728232.6634191656
-12181,-2727867.4259601273
-12180,-2727502.1802654155
-12179,-2727136.9437803067
-12178,-2726771.7066182187
-12177,-2726406.463424485
-12176,-2726041.2310743174
-12175,-2725675.989658797
-12174,-2725310.7483858215
-12173,-2724945.5154354144
-12172,-2724580.272916369
-12171,-2724215.035716328
-12170,-2723849.795355059
-12169,-2723484.5487905173
-12168,-2723119.311785128
