year,tdb
-12193,-2732259.525449166
-12192,-2731894.284343875
-12191,-2731529.043417503
-12190,-2731163.7977244817
-12189,-2730798.558770541
-12188,-2730433.3139167763
-12187,-2730068.0706266845
-12186,-2729702.8274425417
-12185,-2729337.581546613
-12184,-2728972.339423377
-12183,-2728607.0956601193
-12182,-2728241.84804947
-12181,-2727876.603286255
-12180,-2727511.360212558
-12179,-2727146.1170846624
-12178,-2726780.8761858195
-12177,-2726415.634166967
-12176,-2726050.3916363083
-12175,-2725685.1515331278
-12174,-2725319.90732855
-12173,-2724954.666085166
-12172,-2724589.426054002
-12171,-2724224.181530092
-12170,-2723858.937361125
-12169,-2723493.6912613343
-12168,-2723128.4466216173
