year,tt
6793,4202230.96187396
6794,4202596.200445749
6795,4202961.439017534
6796,4203326.677589315
6797,4203691.916161091
6798,4204057.154732864
6799,4204422.393304632
6800,4204787.631876396
6801,4205152.870448155
6802,4205518.109019911
6803,4205883.347591663
6804,4206248.586163409
6805,4206613.824735152
6806,4206979.06330689
6807,4207344.301878625
6808,4207709.540450355
6809,4208074.779022081
6810,4208440.017593802
6811,4208805.256165519
6812,4209170.494737232
6813,4209535.733308941
6814,4209900.9718806455
6815,4210266.210452346
6816,4210631.449024042
6817,4210996.687595734
6818,4211361.926167422
6819,4211727.164739105
6820,4212092.403310784
6821,4212457.641882459
6822,4212822.88045413
6823,4213188.119025797
6824,4213553.357597458
6825,4213918.596169116
6826,4214283.83474077
6827,4214649.0733124195
6828,4215014.311884065
6829,4215379.550455706
6830,4215744.789027343
6831,4216110.027598975
6832,4216475.417020336
6833,4216840.653847713
6834,4217205.890675086
6835,4217571.1275024535
6836,4217936.364329817
6837,4218301.601157176
6838,4218666.837984532
6839,4219032.074811882
6840,4219397.311639229
6841,4219762.548466572
6842,4220127.78529391
6843,4220493.022121243
6844,4220858.258948574
6845,4221223.495775899
6846,4221588.73260322
6847,4221953.969430537
6848,4222319.20625785
6849,4222684.443085158
6850,4223049.679912463
6851,4223414.916739763
6852,4223780.153567059
6853,4224145.3903943505
6854,4224510.627221637
6855,4224875.864048921
6856,4225241.100876199
6857,4225606.337703474
6858,4225971.574530744
6859,4226336.81135801
6860,4226702.207550301
6861,4227067.456900896
6862,4227432.698800166
6863,4227797.936709031
6864,4228163.174617893
6865,4228528.41252675
6866,4228893.650435603
6867,4229258.888344452
6868,4229624.126253296
6869,4229989.364162136
6870,4230354.602070972
6871,4230719.839979804
6872,4231085.077888631
6873,4231450.315797455
6874,4231815.553706273
6875,4232180.7916150885
6876,4232546.029523899
6877,4232911.2674327055
6878,4233276.5053415075
6879,4233641.743250305
6880,4234006.981159098
6881,4234372.219067888
6882,4234737.456976673
6883,4235102.694885454
6884,4235467.93279423
